Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Lil Jessie,The Batman: Season 1_hook_05_16x9,FireTV 4K Stick 2018,2023-06-23 03:41:01,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1690,""mediaOffsetMs"":0}]"
Lil Jessie,Trailer: 85 South: Ghetto Legends,FireTV 4K Stick 2018,2023-06-23 03:41:01,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1417,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":6998,""mediaOffsetMs"":885},{""eventType"":""stopped"",""sessionOffsetMs"":6998,""mediaOffsetMs"":885}]"
Lil Jessie,Black Mirror: Season 1_hook_primary_16x9,FireTV 4K Stick 2018,2023-06-23 03:40:57,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1802,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2193,""mediaOffsetMs"":84},{""eventType"":""stopped"",""sessionOffsetMs"":4634,""mediaOffsetMs"":84}]"
Lil Jessie,Suits: Season 1_hook_primary_16x9,FireTV 4K Stick 2018,2023-06-23 03:40:56,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2042,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2209,""mediaOffsetMs"":12},{""eventType"":""stopped"",""sessionOffsetMs"":3350,""mediaOffsetMs"":132}]"
Lil Jessie,Black Mirror: Season 1_hook_primary_16x9,FireTV 4K Stick 2018,2023-06-23 03:40:55,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1915,""mediaOffsetMs"":0}]"
Lil Jessie,Trailer: 85 South: Ghetto Legends,FireTV 4K Stick 2018,2023-06-23 03:40:50,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1691,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4433,""mediaOffsetMs"":2532},{""eventType"":""stopped"",""sessionOffsetMs"":6204,""mediaOffsetMs"":2532}]"
Lil Jessie,"Black Mirror: Season 5: ""Smithereens""",FireTV 4K Stick 2018,2023-06-23 03:39:55,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":9000},{""eventType"":""playing"",""sessionOffsetMs"":1490,""mediaOffsetMs"":9000},{""eventType"":""paused"",""sessionOffsetMs"":50859,""mediaOffsetMs"":56968},{""eventType"":""stopped"",""sessionOffsetMs"":53260,""mediaOffsetMs"":56968}]"
Lil Jessie,"Black Mirror: Season 6: ""Demon 79""",FireTV 4K Stick 2018,2023-06-23 02:26:57,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3428,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":733487,""mediaOffsetMs"":729680},{""eventType"":""reposition"",""sessionOffsetMs"":733487,""mediaOffsetMs"":720024},{""eventType"":""playing"",""sessionOffsetMs"":737529,""mediaOffsetMs"":685400},{""eventType"":""paused"",""sessionOffsetMs"":4380704,""mediaOffsetMs"":4327924},{""eventType"":""stopped"",""sessionOffsetMs"":4382138,""mediaOffsetMs"":4328351}]"
Lil Jessie,Black Mirror: Season 1_hook_primary_16x9,FireTV 4K Stick 2018,2023-06-23 02:26:54,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1878,""mediaOffsetMs"":0}]"
Lil Jessie,Trailer: 85 South: Ghetto Legends,FireTV 4K Stick 2018,2023-06-23 02:26:52,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2466,""mediaOffsetMs"":0}]"
