Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Lil Jessie,2023-06-23 03:39:55,00:00:47,Autoplayed: user action: None; ,Black Mirror: Season 5: Smithereens (Episode 2),,FireTV 4K Stick 2018,00:00:56,00:00:56,US (United States)
Lil Jessie,2023-06-23 02:26:57,01:12:52,Autoplayed: user action: User_Interaction; ,Black Mirror: Season 6: Demon 79 (Episode 5),,FireTV 4K Stick 2018,01:12:07,01:12:07,US (United States)
Lil Jessie,2023-06-22 22:45:29,00:00:45,,All American: Season 1: Back in The Day (Episode 12),,Apple iPhone SE 3rd Gen iPhone,00:24:08,00:24:08,US (United States)
Lil Jessie,2023-06-22 18:19:44,00:03:26,,All American: Season 1: Back in The Day (Episode 12),,Apple iPhone SE 3rd Gen iPhone,00:23:23,Not latest view,US (United States)
Lil Jessie,2023-06-22 18:19:10,00:00:24,,All American: Season 1: All Eyez on Me (Episode 11),,Apple iPhone SE 3rd Gen iPhone,00:42:01,00:42:01,US (United States)
Lil Jessie,2023-06-22 17:18:48,00:20:23,,All American: Season 1: Back in The Day (Episode 12),,Apple iPhone SE 3rd Gen iPhone,00:19:57,Not latest view,US (United States)
Lil Jessie,2023-06-22 16:33:08,00:19:42,,All American: Season 1: All Eyez on Me (Episode 11),,Apple iPhone SE 3rd Gen iPhone,00:41:37,Not latest view,US (United States)
Lil Jessie,2023-06-22 16:06:51,00:07:45,,All American: Season 1: All Eyez on Me (Episode 11),,Apple iPhone SE 3rd Gen iPhone,00:08:21,Not latest view,US (United States)
Lil Jessie,2023-06-21 07:46:20,00:09:55,,The Breakfast Club,,FireTV 4K Stick 2018,00:09:55,00:09:55,US (United States)
Lil Jessie,2023-06-21 07:20:25,00:00:54,,Suits: Season 1_hook_primary_16x9,HOOK,FireTV 4K Stick 2018,00:00:54,00:00:54,US (United States)
Lil Jessie,2023-06-21 07:18:26,00:01:57,,Season 1 Part 2 Trailer: Break Point,TRAILER,FireTV 4K Stick 2018,00:01:57,00:01:57,US (United States)
Lil Jessie,2023-06-21 07:17:15,00:01:09,Autoplayed: user action: None; ,Trailer: 85 South: Ghetto Legends,TRAILER,FireTV 4K Stick 2018,00:01:09,00:01:09,US (United States)
Lil Jessie,2023-06-21 05:41:52,01:35:20,,The Breakfast Club,,FireTV 4K Stick 2018,01:35:20,Not latest view,US (United States)
Lil Jessie,2023-06-21 05:41:45,00:00:04,Autoplayed: user action: None; ,The Breakfast Club_hook_02_16x9,HOOK,FireTV 4K Stick 2018,00:00:04,00:00:04,US (United States)
Lil Jessie,2023-06-21 05:41:37,00:00:04,Autoplayed: user action: None; ,Extraction_VAR2-CLIP_CHARACTER,HOOK,FireTV 4K Stick 2018,00:00:04,00:00:04,US (United States)
Lil Jessie,2023-06-21 05:41:16,00:00:01,Autoplayed: user action: None; ,The Batman: Season 1: The Bat in the Belfry (Episode 1),,FireTV 4K Stick 2018,00:00:01,00:00:01,US (United States)
Lil Jessie,2023-06-21 05:41:11,00:00:01,Autoplayed: user action: None; ,The Batman: Season 1: The Bat in the Belfry (Episode 1),,FireTV 4K Stick 2018,00:00:01,Not latest view,US (United States)
Lil Jessie,2023-06-21 05:40:54,00:00:04,Autoplayed: user action: None; ,Avatar: The Last Airbender: Book 1_hook_primary_16x9,HOOK,FireTV 4K Stick 2018,00:00:04,00:00:04,US (United States)
Lil Jessie,2023-06-21 05:40:29,00:00:09,Autoplayed: user action: None; ,The Batman: Season 1_hook_02_16x9,HOOK,FireTV 4K Stick 2018,00:00:09,00:00:09,US (United States)
Lil Jessie,2023-06-21 05:39:45,00:00:02,Autoplayed: user action: None; ,Hunter X Hunter (2011): Season 1: Departure x and x Friends (Episode 1),,FireTV 4K Stick 2018,00:00:02,00:00:02,US (United States)
Lil Jessie,2023-06-21 05:39:18,00:00:04,Autoplayed: user action: None; ,Hunter X Hunter (2011): Season 1_hook_01_16x9,HOOK,FireTV 4K Stick 2018,00:00:04,00:00:04,US (United States)
Lil Jessie,2023-06-21 05:38:52,00:00:05,Autoplayed: user action: None; ,Season 1 Trailer: The Last Dance (CM),TRAILER,FireTV 4K Stick 2018,00:00:05,00:00:05,US (United States)
Lil Jessie,2023-06-20 02:46:30,00:00:11,Autoplayed: user action: None; ,Black Mirror: Season 6: Demon 79 (Episode 5),,FireTV 4K Stick 2018,00:00:16,Not latest view,US (United States)
Lil Jessie,2023-06-20 02:04:05,00:42:14,Autoplayed: user action: User_Interaction; ,Black Mirror: Season 6: Mazey Day (Episode 4),,FireTV 4K Stick 2018,00:39:22,00:39:22,US (United States)
Lil Jessie,2023-06-20 02:03:53,00:00:06,Autoplayed: user action: None; ,Season 1 Inciting Incident Clip: Madre de alquiler,HOOK,FireTV 4K Stick 2018,00:00:06,00:00:06,US (United States)
Lil Jessie,2023-06-19 04:50:43,00:00:04,Autoplayed: user action: None; ,Trailer: Extraction 2,TRAILER,FireTV 4K Stick 2018,00:00:04,00:00:04,US (United States)
Lil Jessie,2023-06-19 03:30:55,01:19:05,Autoplayed: user action: User_Interaction; ,Black Mirror: Season 6: Beyond the Sea (Episode 3),,FireTV 4K Stick 2018,01:17:20,01:17:20,US (United States)
Lil Jessie,2023-06-19 02:33:21,00:57:17,,Black Mirror: Season 6: Loch Henry (Episode 2),,FireTV 4K Stick 2018,00:53:36,00:53:36,US (United States)
Lil Jessie,2023-06-18 21:28:33,00:01:06,,Black Mirror: Season 6: Loch Henry (Episode 2),,Apple iPhone SE 3rd Gen iPhone,00:01:16,Not latest view,US (United States)
Lil Jessie,2023-06-18 20:24:49,00:14:18,,Black Mirror: Season 6: Joan Is Awful (Episode 1),,Apple iPhone SE 3rd Gen iPhone,00:55:19,00:55:19,US (United States)
Lil Jessie,2023-06-18 20:24:37,00:00:08,Autoplayed: user action: None; ,Black Mirror: Season 1_hook_primary_16x9,HOOK,Apple iPhone SE 3rd Gen iPhone,00:00:08,00:00:08,US (United States)
Lil Jessie,2023-06-18 20:23:17,00:00:09,Autoplayed: user action: None; ,Black Mirror: Bandersnatch (Trailer),TRAILER,Apple iPhone SE 3rd Gen iPhone,00:00:10,00:00:10,US (United States)
Lil Jessie,2023-06-16 19:23:10,00:24:47,,How to Get Rich: Season 1: Destination Rich Life (Episode 8),,Apple iPhone SE 3rd Gen iPhone,00:35:53,00:35:53,US (United States)
Lil Jessie,2023-06-16 19:06:33,00:16:32,,How to Get Rich: Season 1: Bills & Wedding Bells (Episode 7),,Apple iPhone SE 3rd Gen iPhone,00:29:24,00:29:24,US (United States)
Lil Jessie,2023-06-15 17:56:06,00:24:23,,All American: Season 1: m.A.A.d. City (Episode 10),,Apple iPhone SE 3rd Gen iPhone,00:42:21,00:42:21,US (United States)
Lil Jessie,2023-06-15 17:55:27,00:00:29,,How to Get Rich: Season 1: Bills & Wedding Bells (Episode 7),,Apple iPhone SE 3rd Gen iPhone,00:15:52,Not latest view,US (United States)
Lil Jessie,2023-06-15 03:46:28,00:00:19,Autoplayed: user action: None; ,Osmosis: Season 1 (Trailer),TRAILER,FireTV 4K Stick 2018,00:00:19,00:00:19,US (United States)
Lil Jessie,2023-06-15 03:45:40,00:00:38,Autoplayed: user action: None; ,V Wars: Season 1_VAR2-CLIP_CHARACTER,HOOK,FireTV 4K Stick 2018,00:00:38,00:00:38,US (United States)
Lil Jessie,2023-06-15 03:45:11,00:00:10,Autoplayed: user action: None; ,The I-Land: Limited Series (Trailer),TRAILER,FireTV 4K Stick 2018,00:00:10,00:00:10,US (United States)
Lil Jessie,2023-06-15 03:45:04,00:00:05,Autoplayed: user action: None; ,Into the Night: Season 1 - Upper Bound Clip 11,HOOK,FireTV 4K Stick 2018,00:00:05,00:00:05,US (United States)
Lil Jessie,2023-06-15 03:44:49,00:00:13,Autoplayed: user action: None; ,V Wars: Season 1_VAR2-CLIP_CHARACTER,HOOK,FireTV 4K Stick 2018,00:00:13,Not latest view,US (United States)
Lil Jessie,2023-06-15 03:44:37,00:00:09,Autoplayed: user action: None; ,V Wars: Season 1_VAR2-CLIP_CHARACTER,HOOK,FireTV 4K Stick 2018,00:00:09,Not latest view,US (United States)
Lil Jessie,2023-06-15 03:44:23,00:00:12,Autoplayed: user action: None; ,The Dark Crystal: Age of Resistance: Season 1 (Teaser),TRAILER,FireTV 4K Stick 2018,00:00:12,00:00:12,US (United States)
Lil Jessie,2023-06-15 03:41:29,00:02:21,,Season 1 Trailer: I Am Not Okay With This,TRAILER,FireTV 4K Stick 2018,00:02:21,00:02:21,US (United States)
Lil Jessie,2023-06-15 03:40:18,00:01:08,Autoplayed: user action: None; ,Maniac: Limited Series (Trailer),TRAILER,FireTV 4K Stick 2018,00:01:09,00:01:09,US (United States)
Lil Jessie,2023-06-15 03:39:48,00:00:25,Autoplayed: user action: None; ,Alice in Borderland: Season 1 - Upper Bound Clip 2,HOOK,FireTV 4K Stick 2018,00:00:25,00:00:25,US (United States)
Lil Jessie,2023-06-15 03:39:34,00:00:05,Autoplayed: user action: None; ,Alice in Borderland: Season 1 - Upper Bound Clip 2,HOOK,FireTV 4K Stick 2018,00:00:05,Not latest view,US (United States)
Lil Jessie,2023-06-15 03:39:05,00:00:10,Autoplayed: user action: None; ,Sweet Tooth: Season 1 - Baseline Clip 3,HOOK,FireTV 4K Stick 2018,00:00:10,00:00:10,US (United States)
Lil Jessie,2023-06-15 03:38:19,00:00:38,Autoplayed: user action: None; ,Volume 1 Trailer: Jupiter's Legacy,TRAILER,FireTV 4K Stick 2018,00:00:38,00:00:38,US (United States)
Lil Jessie,2023-06-15 03:38:09,00:00:05,Autoplayed: user action: None; ,Volume 1 Trailer: Jupiter's Legacy,TRAILER,FireTV 4K Stick 2018,00:00:05,Not latest view,US (United States)
Lil Jessie,2023-06-15 03:37:53,00:00:08,Autoplayed: user action: None; ,Part 2 Clip Main Character Intro: MOTU: Revelation,HOOK,FireTV 4K Stick 2018,00:00:08,00:00:08,US (United States)
Lil Jessie,2023-06-15 03:37:14,00:00:37,Autoplayed: user action: None; ,Volume 1 Trailer: Jupiter's Legacy,TRAILER,FireTV 4K Stick 2018,00:00:37,Not latest view,US (United States)
Lil Jessie,2023-06-15 03:36:55,00:00:14,Autoplayed: user action: None; ,Volume 1 Trailer: Jupiter's Legacy,TRAILER,FireTV 4K Stick 2018,00:00:14,Not latest view,US (United States)
Lil Jessie,2023-06-15 03:36:49,00:00:04,Autoplayed: user action: None; ,Part 2 Clip Main Character Intro: MOTU: Revelation,HOOK,FireTV 4K Stick 2018,00:00:04,Not latest view,US (United States)
Lil Jessie,2023-06-15 03:36:33,00:00:10,Autoplayed: user action: None; ,Volume 1 Trailer: Jupiter's Legacy,TRAILER,FireTV 4K Stick 2018,00:00:10,Not latest view,US (United States)
Lil Jessie,2023-06-15 03:35:48,00:00:12,Autoplayed: user action: None; ,Squid Game: Season 1 - CLM 1,HOOK,FireTV 4K Stick 2018,00:00:12,00:00:12,US (United States)
Lil Jessie,2023-06-15 03:35:23,00:00:07,Autoplayed: user action: None; ,The Kingdom_hook_primary_16x9,HOOK,FireTV 4K Stick 2018,00:00:07,00:00:07,US (United States)
Lil Jessie,2023-06-15 03:34:57,00:00:04,Autoplayed: user action: None; ,Trailer: Untold: Malice at the Palace,TRAILER,FireTV 4K Stick 2018,00:00:04,00:00:04,US (United States)
Lil Jessie,2023-06-15 03:34:06,00:00:40,Autoplayed: user action: None; ,Season 1 Upper Bound Clip 13: Cyberpunk: Edgerunners,HOOK,FireTV 4K Stick 2018,00:00:40,00:00:40,US (United States)
Lil Jessie,2023-06-15 03:33:48,00:00:13,Autoplayed: user action: None; ,Season 1 Upper Bound Clip 13: Cyberpunk: Edgerunners,HOOK,FireTV 4K Stick 2018,00:00:13,Not latest view,US (United States)
Lil Jessie,2023-06-15 03:33:36,00:00:10,Autoplayed: user action: None; ,Narcos: Season 3 (Trailer),TRAILER,FireTV 4K Stick 2018,00:00:14,00:00:14,US (United States)
Lil Jessie,2023-06-15 03:33:28,00:00:05,Autoplayed: user action: None; ,Narcos: Season 3 (Trailer),TRAILER,FireTV 4K Stick 2018,00:00:05,Not latest view,US (United States)
Lil Jessie,2023-06-15 03:33:00,00:00:18,Autoplayed: user action: None; ,"Volume 3 Trailer: Love, Death & Robots",TRAILER,FireTV 4K Stick 2018,00:00:18,00:00:18,US (United States)
Lil Jessie,2023-06-15 03:32:37,00:00:11,Autoplayed: user action: None; ,Season 2 Plot Clip: Top Boy,HOOK,FireTV 4K Stick 2018,00:00:11,00:00:11,US (United States)
Lil Jessie,2023-06-15 03:31:59,00:00:06,Autoplayed: user action: None; ,Season 1 Character Intro Clip: Tex Mex Motors,HOOK,FireTV 4K Stick 2018,00:00:06,00:00:06,US (United States)
Lil Jessie,2023-06-15 03:31:34,00:00:14,Autoplayed: user action: None; ,Limited Series Cliffhanger Clip: Arnold,HOOK,FireTV 4K Stick 2018,00:00:14,00:00:14,US (United States)
Lil Jessie,2023-06-14 22:22:52,00:15:19,,How to Get Rich: Season 1: Bills & Wedding Bells (Episode 7),,FireTV 4K Stick 2018,00:15:23,Not latest view,US (United States)
Lil Jessie,2023-06-14 21:49:57,00:32:45,,How to Get Rich: Season 1: Multi-Level Marketing Madness (Episode 6),,FireTV 4K Stick 2018,00:35:32,00:35:32,US (United States)
Lil Jessie,2023-06-14 18:01:39,00:02:14,,How to Get Rich: Season 1: Multi-Level Marketing Madness (Episode 6),,Apple iPhone SE 3rd Gen iPhone,00:02:14,Not latest view,US (United States)
Lil Jessie,2023-06-14 18:00:55,00:00:35,Autoplayed: user action: None; ,Season 1 Moment of High Emotion Clip: How to Get Rich,HOOK,Apple iPhone SE 3rd Gen iPhone,00:00:35,00:00:35,US (United States)
Lil Jessie,2023-06-14 17:57:50,00:01:49,,Justice League Unlimited: Season 1: The Balance (Episode 18),,Apple iPhone SE 3rd Gen iPhone,00:22:01,00:22:01,US (United States)
Lil Jessie,2023-06-14 17:57:16,00:00:06,Autoplayed: user action: None; ,Season 1 Moment of High Emotion Clip: How to Get Rich,HOOK,Apple iPhone SE 3rd Gen iPhone,00:00:06,Not latest view,US (United States)
Lil Jessie,2023-06-14 14:32:20,00:06:01,,How to Get Rich: Season 1: Pet Checking Accounts (Episode 5),,FireTV 4K Stick 2018,00:07:43,00:07:43,US (United States)
Lil Jessie,2023-06-14 14:26:12,00:05:42,,"How to Get Rich: Season 1: New Cash, Old Problems (Episode 4)",,FireTV 4K Stick 2018,00:34:01,00:34:01,US (United States)
Lil Jessie,2023-06-14 14:25:33,00:00:02,Autoplayed: user action: User_Interaction; ,How to Get Rich: Season 1: Pet Checking Accounts (Episode 5),,FireTV 4K Stick 2018,00:00:03,Not latest view,US (United States)
Lil Jessie,2023-06-14 12:07:14,00:25:47,,"How to Get Rich: Season 1: New Cash, Old Problems (Episode 4)",,Apple iPhone SE 3rd Gen iPhone,00:25:29,Not latest view,US (United States)
Lil Jessie,2023-06-14 12:06:53,00:00:13,Autoplayed: user action: None; ,Season 1 Moment of High Emotion Clip: How to Get Rich,HOOK,Apple iPhone SE 3rd Gen iPhone,00:00:13,Not latest view,US (United States)
Lil Jessie,2023-06-14 04:54:42,00:00:04,Autoplayed: user action: None; ,How to Get Rich: Season 1: Pet Checking Accounts (Episode 5),,FireTV 4K Stick 2018,00:00:07,Not latest view,US (United States)
Lil Jessie,2023-06-14 04:21:19,00:33:21,,"How to Get Rich: Season 1: New Cash, Old Problems (Episode 4)",,FireTV 4K Stick 2018,00:33:24,Not latest view,US (United States)
Lil Jessie,2023-06-14 03:47:09,00:34:09,,How to Get Rich: Season 1: HOA Not Okay (Episode 3),,FireTV 4K Stick 2018,00:34:12,00:34:12,US (United States)
Lil Jessie,2023-06-14 03:12:19,00:34:48,,How to Get Rich: Season 1: Financial Hot Water (Episode 2),,FireTV 4K Stick 2018,00:34:51,00:34:51,US (United States)
Lil Jessie,2023-06-14 02:34:51,00:37:19,,How to Get Rich: Season 1: Design Your Rich Life (Episode 1),,FireTV 4K Stick 2018,00:38:30,00:38:30,US (United States)
Lil Jessie,2023-06-14 01:48:10,00:02:47,Autoplayed: user action: User_Interaction; ,How to Get Rich: Season 1: Design Your Rich Life (Episode 1),,FireTV 4K Stick 2018,00:02:47,Not latest view,US (United States)
Lil Jessie,2023-06-14 01:47:54,00:00:01,Autoplayed: user action: None; ,Broken: Season 1: Makeup Mayhem (Episode 1),,FireTV 4K Stick 2018,00:01:42,00:01:42,US (United States)
Lil Jessie,2023-06-14 01:46:53,00:00:14,Autoplayed: user action: None; ,Selling Sunset (Trailer),TRAILER,FireTV 4K Stick 2018,00:00:14,00:00:14,US (United States)
Lil Jessie,2023-06-14 01:46:34,00:00:07,Autoplayed: user action: None; ,Moment of High Emotion Clip: Anna Nicole Smith: You Don’t Know Me,HOOK,FireTV 4K Stick 2018,00:00:07,00:00:07,US (United States)
Lil Jessie,2023-06-14 01:46:16,00:00:11,Autoplayed: user action: None; ,Season 2 Clip: Barbecue Showdown,HOOK,FireTV 4K Stick 2018,00:00:11,00:00:11,US (United States)
Lil Jessie,2023-06-14 01:46:06,00:00:07,Autoplayed: user action: None; ,Season 1 Teaser: The Days,TEASER_TRAILER,FireTV 4K Stick 2018,00:00:07,00:00:07,US (United States)
Lil Jessie,2023-06-14 01:45:42,00:00:08,Autoplayed: user action: None; ,Comedy Clip 3: Amy Schumer: Emergency Contact,HOOK,FireTV 4K Stick 2018,00:00:08,00:00:08,US (United States)
Lil Jessie,2023-06-14 01:45:01,00:00:04,Autoplayed: user action: None; ,The Breakfast Club_hook_02_16x9,HOOK,FireTV 4K Stick 2018,00:00:04,Not latest view,US (United States)
Lil Jessie,2023-06-14 01:43:58,00:00:58,Autoplayed: user action: None; ,The Breakfast Club_hook_02_16x9,HOOK,FireTV 4K Stick 2018,00:00:58,Not latest view,US (United States)
Lil Jessie,2023-06-14 01:38:10,00:05:31,,All American: Season 1: m.A.A.d. City (Episode 10),,FireTV 4K Stick 2018,00:06:42,Not latest view,US (United States)
Lil Jessie,2023-06-14 00:57:30,00:40:38,,All American: Season 1: Keep Ya Head Up (Episode 9),,FireTV 4K Stick 2018,00:41:43,00:41:43,US (United States)
Lil Jessie,2023-06-14 00:51:34,00:05:53,,All American: Season 1: Homecoming (Episode 8),,FireTV 4K Stick 2018,00:41:59,00:41:59,US (United States)
Lil Jessie,2023-06-14 00:50:51,00:00:39,Autoplayed: user action: None; ,All American: Season 1_hook_primary_16x9,HOOK,FireTV 4K Stick 2018,00:00:39,00:00:39,US (United States)
Lil Jessie,2023-06-14 00:49:19,00:01:24,Autoplayed: user action: None; ,Season 2 Clip: Barbecue Showdown,HOOK,FireTV 4K Stick 2018,00:01:24,Not latest view,US (United States)
