Esn,Localized Device Description,Device Description,Ip,Country,Region Code Display Name,Near Location,Ts
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-54EA793F5BAC7F8ED8BFA870055284E7FF5C49C909FE7C4BD692273A806FDAA9,Amazon_AFTMM,Amazon_AFTMM,68.1.49.102,US,Florida,SHALIMAR,2023-06-02 21:03:59
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-54EA793F5BAC7F8ED8BFA870055284E7FF5C49C909FE7C4BD692273A806FDAA9,Amazon_AFTMM,Amazon_AFTMM,2600:8807:9043:a300:4d0f:87d6:fdf4:6d25,US,Florida,SHALIMAR,2023-05-31 03:15:59
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-54EA793F5BAC7F8ED8BFA870055284E7FF5C49C909FE7C4BD692273A806FDAA9,Amazon_AFTMM,Amazon_AFTMM,2600:8807:9043:a300:b125:5699:bf51:f03f,US,Florida,SHALIMAR,2023-06-08 21:22:43
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-54EA793F5BAC7F8ED8BFA870055284E7FF5C49C909FE7C4BD692273A806FDAA9,Amazon_AFTMM,Amazon_AFTMM,2600:8807:9043:a300:4c91:b49b:6ae0:d17a,US,Florida,SHALIMAR,2023-06-03 19:06:35
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-54EA793F5BAC7F8ED8BFA870055284E7FF5C49C909FE7C4BD692273A806FDAA9,Amazon_AFTMM,Amazon_AFTMM,2600:8807:9043:a300:5da4:d32c:3180:4a22,US,Florida,SHALIMAR,2023-06-14 14:25:27
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-54EA793F5BAC7F8ED8BFA870055284E7FF5C49C909FE7C4BD692273A806FDAA9,Amazon_AFTMM,Amazon_AFTMM,2600:8807:9043:a300:59ff:d794:e5e9:a460,US,Florida,SHALIMAR,2023-05-31 21:54:53
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-54EA793F5BAC7F8ED8BFA870055284E7FF5C49C909FE7C4BD692273A806FDAA9,Amazon_AFTMM,Amazon_AFTMM,2600:8807:9043:a300:796d:34e2:1398:bf43,US,Florida,SHALIMAR,2023-06-02 21:03:52
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-54EA793F5BAC7F8ED8BFA870055284E7FF5C49C909FE7C4BD692273A806FDAA9,Amazon_AFTMM,Amazon_AFTMM,2600:8807:9043:a300:8d1b:8a49:f408:4aab,US,Florida,SHALIMAR,2023-06-14 00:38:24
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-54EA793F5BAC7F8ED8BFA870055284E7FF5C49C909FE7C4BD692273A806FDAA9,Amazon_AFTMM,Amazon_AFTMM,2600:8807:9043:a300:68b6:ba36:400e:9b7d,US,Florida,SHALIMAR,2023-06-02 01:00:23
NFAPPL-02-IPHONE14=6-F78C51536E16E5981AFBA28A07FC81B321E53E39F0BDD00B88C14B253FF6E1B8,APPLE_iPhone14-6,APPLE_iPhone14-6,174.203.43.241,US,Mississippi,GULFPORT,2023-06-22 18:19:44
